anecdote	段子
demote	降级
rote	死记硬背
forte	优势
lambaste	斥责
vignette	简介
coquette	调情
tribute	称颂
acute	敏锐的
persecute	迫害
refute	否认
dilute	稀释
absolute	专制的
resolute	坚定的
dissolute	放荡的
mute	沉默的
minute	微小的
repute	名誉
substitute	替代品
institute	创立
constitute	任命
reconstitute	重建
astute	机敏的
neophyte	新手
subdue	征服
residue	剩余物
undue	过多的
plague	瘟疫
vague	模糊的
intrigue	阴谋
fatigue	疲惫
harangue	长篇大论
pedagogue	老师
demagogue	政客
epilogue	结尾
monologue	独白
prologue	序言
venue	场地
opaque	晦涩难懂的
oblique	斜的
pique	刺激
baroque	华丽的
burlesque	恶搞
grotesque	难看的
rue	后悔
misconstrue	误解
ensue	紧随
issue	话题
cleave	坚持，分割
rave	赞扬，怒吼
crave	渴望
peeve	打扰
grieve	悲伤
aggrieve	使苦恼，悲痛
reprieve	免罪
retrieve	找回
naive	幼稚的
conducive	有益的
hive	忙碌，积累
connive	合谋
rive	撕裂
cohesive	粘性的
compulsive	无法自拔
expansive	外向的
apprehensive	理解的，害怕的
pensive	沉思的
responsive	反应的
corrosive	腐蚀性的
discursive	杂乱的
excursive	离题的
impassive	冷漠的
recessive	内向的
aggressive	好斗的
submissive	服从的
effusive	多情的
inconclusive	无定论的
obtrusive	难看的
prerogative	权力
lucrative	有利可图的
imperative	命令的
pejorative	轻蔑的
restorative	有益健康的
figurative	比喻的
tentative	暂时性的
hortative	鼓励的
putative	假定的
derivative	非原创的
innovative	创新的
conservative	保守的
retroactive	可追溯的
retrospective	回顾的
invective	侮辱性的
vindictive	复仇的
distinctive	完全不同的
disjunctive	分离的
counterproductive	反效果的
prohibitive	抑制购买的
primitive	原始的
acquisitive	贪婪的


