abstain	自我克制
distain	贬低
rein	限制
maudlin	伤感的
purloin	偷窃
grin	笑
chagrin	沮丧
damn	谴责
condemn	谴责
hymn	赞美
don	穿上
abandon	放弃
curmudgeon	爱抱怨的人
burgeon	蓬勃发展
chameleon	变色龙
paragon	榜样
jargon	术语
legion	大量的
rapscallion	流氓
champion	支持
clarion	响亮的
revision	修订
convulsion	骚乱
apprehension	忧虑
misapprehension	错误理解
dissension	分歧
aspersion	诽谤
incursion	入侵
scission	切断
profusion	大量的
delusion	错觉
approbation	同意
nullification	废除
ramification	影响
vocation	职业
trepidation	恐惧
negation	否定
revelation	爆料
ratiocination	推理
hallucination	错觉
machination	诡计
disinclination	厌恶
divination	预言
coronation	加冕
consternation	惊恐
preoccupation	全神贯注
ration	按比例分配
conflagration	武装冲突
deterioration	恶化
ministration	帮助
sensation	轰动
cessation	终止
affectation	虚伪
imitation	模仿
precipitation	沉积，仓促
palpitation	舒张收缩
incantation	咒语
deportation	放逐
salutation	赞扬
privation	穷困
deprivation	匮乏
faction	派系
infraction	违背
predilection	爱好
valediction	告别词
affliction	痛苦
friction	摩擦
conviction	确信
sanction	同意
compunction	焦虑
discretion	谨慎
demolition	毁坏
volition	意志
apparition	鬼魂
disquisition	专题论文
supposition	猜想
petition	申请书
partition	分割
convention	传统
commotion	骚乱
inception	开端
prescription	规定
retribution	报答
prosecution	实行
circumlocution	冗长
restitution	补偿
summon	召唤
sermon	传教
canon	标准
boon	恩惠
tycoon	巨头
balloon	迅速增加
lampoon	讽刺
croon	低声说话
oxymoron	矛盾修饰法
jettison	丢弃
simpleton	笨蛋
glutton	贪吃的人
halcyon	平静的
blazon	装饰
discern	辨别
