aberrant	异常的
recalcitrant	不顺从的
tyrant	暴君
conversant	熟悉的
incessant	不间断的
blatant	惹人的
reluctant	不情愿的
exorbitant	过度的
incogitant	考虑不周的
concomitant	伴随发生的
repentant	悔过的
extant	现存的
piquant	令人振奋的
truant	逃避责任
savant	学者
relevant	有关系的
observant	警惕的
flamboyant	炫耀的
buoyant	心情好的
cognizant	知道的
recumbent	躺着的
incumbent	义不容辞的
complacent	自满的
beneficent	仁慈的
magnificent	壮丽的
munificent	慷慨的
reticent	沉默的
nascent	新生的
iridescent	五颜六色的
incandescent	灿烂的，热情的
quiescent	平静的
evanescent	短暂的
reminiscent	怀旧的
translucent	透明的
dent	削弱
decadent	堕落的
precedent	先例
strident	刺耳的
provident	节俭的，有远见的
resplendent	华丽的
impudent	放肆的
prudent	谨慎的
imprudent	不明智的
indigent	贫穷的
negligent	疏忽的
diligent	勤勉的
intransigent	固执的
exigent	紧急的
indulgent	放纵的
refulgent	辉煌的
effulgent	辉煌的
plangent	凄凉的
tangent	离题的
stringent	严格的
pungent	讽刺的
cogent	信服的，相关的
insurgent	叛乱分子
proficient	精通的
omniscient	无所不知的
obedient	服从的
salient	显著的
emollient	缓和的
ebullient	热情的
lenient	仁慈的
sapient	聪明的
incipient	起初的
orient	确定方向
transient	短暂的
insentient	无感觉的
subservient	奉承的
prevalent	普遍的
ambivalent	矛盾的
equivalent	等价的
redolent	芳香的
indolent	懒惰的
insolent	粗野的
malevolent	恶意的
turbulent	动荡的
truculent	好斗的
fraudulent	欺诈的
virulent	有毒的
lament	哀悼
cement	粘合
commencement	开始
rapprochement	和睦
vehement	热情的
clement	宽容的
inclement	无情的
implement	实施
supplement	补充
self-abasement	自谦
segment	分割
figment	幻觉
pigment	颜料
blandishment	甜言蜜语
compliment	称赞
foment	煽动
commitment	投入，承诺
document	证实
argument	争吵
