formidable	艰难的
dependable	可靠的
agreeable	愉悦的
malleable	可塑的
permeable	渗透的
fable	神话
affable	和蔼的
ineffable	难以表达的
unimpeachable	无可置疑的
imperishable	不朽的
appreciable	可感知的
pliable	柔软的
amiable	友好的
friable	易碎的
viable	可行的
unassailable	不可否认的
estimable	值得尊敬的
inalienable	不能让与的
amenable	服从的
tenable	无懈可击的
untenable	站不住脚的
interminable	无尽的
unexceptionable	无懈可击的
personable	有风度的
palpable	明显的，易察觉的
culpable	有罪的
unflappable	镇定的
arable	适合耕种的
considerable	可观的
ponderable	有价值的
vulnerable	脆弱的
deplorable	可耻的
favorable	有利的
inexorable	无法劝阻的
impenetrable	不可穿透的
indispensable	必不可少的
palatable	愉悦的
redoubtable	杰出的
tractable	可驾驭的
ineluctable	无法逃避的
inimitable	无法效仿的
inevitable	不可避免的
potable	酒精饮料
immutable	不变的
scrutable	可理解的
equable	温和的
babble	胡说
dabble	涉猎
rabble	暴民
nibble	小口咬
scribble	潦草写
quibble	吹毛求疵
gobble	狼吞虎咽
hobble	阻碍
wobble	摇晃
feeble	衰弱的
invincible	不可战胜的
irascible	易怒的
edible	可食用的
intelligible	可理解的
incorrigible	无可救药的
tangible	可感知的
intangible	无形的
fungible	可以互换的
indelible	无法忘记的
fallible	可能出错的
foible	小缺点
insensible	无知觉的
ostensible	表面上的
accessible	可理解的
plausible	可信的
compatible	一致的
perceptible	察觉的
susceptible	易受伤的
incontrovertible	无可争议的
combustible	可然的
flexible	灵活的
amble	漫步
gamble	赌博
ramble	漫谈
dissemble	掩饰
bumble	含糊不清说
fumble	笨拙做
humble	谦虚的
mumble	含糊的
grumble	抱怨
ennoble	使尊贵
garble	篡改
warble	唱歌
voluble	健谈的
debacle	溃败
manacle	限制
pinnacle	顶峰
saddle	负担
waddle	摇摆
meddle	管闲事
peddle	兜售
mollycoddle	宠爱
befuddle	使困惑
wheedle	哄骗
